clip_id,scene,shot,clip_of,seconds,location,still_used,status,take_file,qc_notes
S18-18C,18,18C,1/1,6,LOC-10,,TODO,,
S18-18D-a,18,18D,1/2,6,LOC-10,,TODO,,
S18-18D-b,18,18D,2/2,5,LOC-10,,TODO,,
S18-18E-a,18,18E,1/2,5,LOC-10,,TODO,,
S18-18E-b,18,18E,2/2,5,LOC-10,,TODO,,
S18-18F,18,18F,1/1,6,LOC-10,,TODO,,
S18-18G,18,18G,1/1,8,LOC-10,,TODO,,
S18-18H,18,18H,1/1,6,LOC-10,,TODO,,
S18-18I,18,18I,1/1,7,LOC-10,,TODO,,
S18-18J,18,18J,1/1,5,LOC-10,,TODO,,
S18-18K,18,18K,1/1,7,LOC-10,,TODO,,
S18-18L-a,18,18L,1/2,5,LOC-10,,TODO,,
S18-18L-b,18,18L,2/2,4,LOC-10,,TODO,,
S18-18M,18,18M,1/1,5,LOC-10,,TODO,,
S18-18N-a,18,18N,1/2,6,LOC-10,,TODO,,
S18-18N-b,18,18N,2/2,6,LOC-10,,TODO,,
S18-18O-a,18,18O,1/2,5,LOC-10,,TODO,,
S18-18O-b,18,18O,2/2,4,LOC-10,,TODO,,
S19-19A-a,19,19A,1/2,5,LOC-03 underside,,TODO,,
S19-19A-b,19,19A,2/2,4,LOC-03 underside,,TODO,,
S19-19B,19,19B,1/1,7,LOC-03 underside,,TODO,,
S19-19C,19,19C,1/1,6,LOC-03 underside,,TODO,,
S19-19D,19,19D,1/1,6,LOC-03 underside,,TODO,,
S19-19E,19,19E,1/1,6,LOC-03 underside,,TODO,,
S19-19F,19,19F,1/1,6,LOC-03 underside,,TODO,,
S19-19G-a,19,19G,1/2,7,LOC-03 underside,,TODO,,
S19-19G-b,19,19G,2/2,7,LOC-03 underside,,TODO,,
S19-19H-a,19,19H,1/2,8,LOC-03 underside,,TODO,,
S19-19H-b,19,19H,2/2,8,LOC-03 underside,,TODO,,
S19-19I-a,19,19I,1/2,8,LOC-03 underside,,TODO,,
S19-19I-b,19,19I,2/2,8,LOC-03 underside,,TODO,,
S20-20A-a,20,20A,1/2,5,LOC-04 (burnt),,TODO,,
S20-20A-b,20,20A,2/2,5,LOC-04 (burnt),,TODO,,
S20-20B,20,20B,1/1,5,LOC-04 (burnt),,TODO,,
S20-20C-a,20,20C,1/2,7,LOC-04 (burnt),,TODO,,
S20-20C-b,20,20C,2/2,7,LOC-04 (burnt),,TODO,,
S20-20D,20,20D,1/1,6,LOC-04 (burnt),,TODO,,
S20-20E-a,20,20E,1/2,8,LOC-04 (burnt),,TODO,,
S20-20E-b,20,20E,2/2,8,LOC-04 (burnt),,TODO,,
S20-20F-a,20,20F,1/2,8,LOC-04 (burnt),,TODO,,
S20-20F-b,20,20F,2/2,8,LOC-04 (burnt),,TODO,,
S20-20G,20,20G,1/1,4,LOC-04 (burnt),,TODO,,
S20-20H-a,20,20H,1/2,7,LOC-04 (burnt),,TODO,,
S20-20H-b,20,20H,2/2,7,LOC-04 (burnt),,TODO,,
S20-20I-a,20,20I,1/2,5,LOC-04 (burnt),,TODO,,
S20-20I-b,20,20I,2/2,4,LOC-04 (burnt),,TODO,,
S21-21A-a,21,21A,1/2,5,LOC-06 + LOC-03,,TODO,,
S21-21A-b,21,21A,2/2,4,LOC-06 + LOC-03,,TODO,,
S21-21B-a,21,21B,1/2,5,LOC-06 + LOC-03,,TODO,,
S21-21B-b,21,21B,2/2,5,LOC-06 + LOC-03,,TODO,,
S21-21C,21,21C,1/1,6,LOC-06 + LOC-03,,TODO,,
S21-21D-a,21,21D,1/2,5,LOC-06 + LOC-03,,TODO,,
S21-21D-b,21,21D,2/2,4,LOC-06 + LOC-03,,TODO,,
S21-21E,21,21E,1/1,8,LOC-06 + LOC-03,,TODO,,
S21-21F,21,21F,1/1,6,LOC-06 + LOC-03,,TODO,,
S21-21G-a,21,21G,1/2,5,LOC-06 + LOC-03,,TODO,,
S21-21G-b,21,21G,2/2,5,LOC-06 + LOC-03,,TODO,,
S21-21H-a,21,21H,1/2,5,LOC-06 + LOC-03,,TODO,,
S21-21H-b,21,21H,2/2,5,LOC-06 + LOC-03,,TODO,,
S21-21I-a,21,21I,1/2,5,LOC-06 + LOC-03,,TODO,,
S21-21I-b,21,21I,2/2,4,LOC-06 + LOC-03,,TODO,,
S22-22A-a,22,22A,1/2,6,LOC-08,,TODO,,
S22-22A-b,22,22A,2/2,5,LOC-08,,TODO,,
S22-22B,22,22B,1/1,8,LOC-08,,TODO,,
S22-22C,22,22C,1/1,4,LOC-08,,TODO,,
S22-22D-a,22,22D,1/2,5,LOC-08,,TODO,,
S22-22D-b,22,22D,2/2,4,LOC-08,,TODO,,
S22-22E-a,22,22E,1/2,5,LOC-08,,TODO,,
S22-22E-b,22,22E,2/2,5,LOC-08,,TODO,,
S22-22F-a,22,22F,1/2,5,LOC-08,,TODO,,
S22-22F-b,22,22F,2/2,5,LOC-08,,TODO,,
S22-22G-a,22,22G,1/2,5,LOC-08,,TODO,,
S22-22G-b,22,22G,2/2,5,LOC-08,,TODO,,
S22-22H,22,22H,1/1,7,LOC-08,,TODO,,
S22-22I-a,22,22I,1/3,6,LOC-08,,TODO,,
S22-22I-b,22,22I,2/3,6,LOC-08,,TODO,,
S22-22I-c,22,22I,3/3,6,LOC-08,,TODO,,
S22-22J-a,22,22J,1/2,6,LOC-08,,TODO,,
S22-22J-b,22,22J,2/2,6,LOC-08,,TODO,,
S22-22K-a,22,22K,1/2,5,LOC-08,,TODO,,
S22-22K-b,22,22K,2/2,4,LOC-08,,TODO,,
S23-23A,23,23A,1/1,8,LOC-02 + LOC-03,,TODO,,
S23-23B-a,23,23B,1/2,5,LOC-02 + LOC-03,,TODO,,
S23-23B-b,23,23B,2/2,4,LOC-02 + LOC-03,,TODO,,
S23-23C-a,23,23C,1/2,5,LOC-02 + LOC-03,,TODO,,
S23-23C-b,23,23C,2/2,4,LOC-02 + LOC-03,,TODO,,
S23-23D,23,23D,1/1,8,LOC-02 + LOC-03,,TODO,,
S23-23E-a,23,23E,1/4,7,LOC-02 + LOC-03,,TODO,,
S23-23E-b,23,23E,2/4,7,LOC-02 + LOC-03,,TODO,,
S23-23E-c,23,23E,3/4,6,LOC-02 + LOC-03,,TODO,,
S23-23E-d,23,23E,4/4,6,LOC-02 + LOC-03,,TODO,,
S23-23F,23,23F,1/1,6,LOC-02 + LOC-03,,TODO,,
S23-23G-a,23,23G,1/3,8,LOC-02 + LOC-03,,TODO,,
S23-23G-b,23,23G,2/3,8,LOC-02 + LOC-03,,TODO,,
S23-23G-c,23,23G,3/3,8,LOC-02 + LOC-03,,TODO,,
S23-23H,23,23H,1/1,8,LOC-02 + LOC-03,,TODO,,
S23-23I-a,23,23I,1/2,6,LOC-02 + LOC-03,,TODO,,
S23-23I-b,23,23I,2/2,5,LOC-02 + LOC-03,,TODO,,
S23-23J-a,23,23J,1/2,5,LOC-02 + LOC-03,,TODO,,
S23-23J-b,23,23J,2/2,5,LOC-02 + LOC-03,,TODO,,
S24-24A-a,24,24A,1/2,6,open sea → LOC-08 ext,,TODO,,
S24-24A-b,24,24A,2/2,5,open sea → LOC-08 ext,,TODO,,
S24-24B-a,24,24B,1/2,5,open sea → LOC-08 ext,,TODO,,
S24-24B-b,24,24B,2/2,5,open sea → LOC-08 ext,,TODO,,
S24-24C,24,24C,1/1,8,open sea → LOC-08 ext,,TODO,,
S24-24D,24,24D,1/1,6,open sea → LOC-08 ext,,TODO,,
S24-24E-a,24,24E,1/2,6,open sea → LOC-08 ext,,TODO,,
S24-24E-b,24,24E,2/2,6,open sea → LOC-08 ext,,TODO,,
S24-24F,24,24F,1/1,8,open sea → LOC-08 ext,,TODO,,
S25-25A,25,25A,1/1,8,LOC-08,,TODO,,
S25-25B-a,25,25B,1/2,5,LOC-08,,TODO,,
S25-25B-b,25,25B,2/2,4,LOC-08,,TODO,,
S25-25C-a,25,25C,1/2,7,LOC-08,,TODO,,
S25-25C-b,25,25C,2/2,6,LOC-08,,TODO,,
S25-25D,25,25D,1/1,6,LOC-08,,TODO,,
S25-25E,25,25E,1/1,7,LOC-08,,TODO,,
S25-25F-a,25,25F,1/2,5,LOC-08,,TODO,,
S25-25F-b,25,25F,2/2,4,LOC-08,,TODO,,
S25-25G,25,25G,1/1,7,LOC-08,,TODO,,
S25-25H,25,25H,1/1,8,LOC-08,,TODO,,
S25-25I,25,25I,1/1,8,LOC-08,,TODO,,
S26-26A-a,26,26A,1/2,5,LOC-08,,TODO,,
S26-26A-b,26,26A,2/2,4,LOC-08,,TODO,,
S26-26B,26,26B,1/1,6,LOC-08,,TODO,,
S26-26C,26,26C,1/1,6,LOC-08,,TODO,,
S26-26D,26,26D,1/1,6,LOC-08,,TODO,,
S26-26E,26,26E,1/1,7,LOC-08,,TODO,,
S26-26F-a,26,26F,1/2,5,LOC-08,,TODO,,
S26-26F-b,26,26F,2/2,4,LOC-08,,TODO,,
S26-26G,26,26G,1/1,7,LOC-08,,TODO,,
S26-26H,26,26H,1/1,4,LOC-08,,TODO,,
S26-26I,26,26I,1/1,7,LOC-08,,TODO,,
S26-26J,26,26J,1/1,7,LOC-08,,TODO,,
S26-26K,26,26K,1/1,8,LOC-08,,TODO,,
S26-26L-a,26,26L,1/2,5,LOC-08,,TODO,,
S26-26L-b,26,26L,2/2,5,LOC-08,,TODO,,
S27-27A-a,27,27A,1/2,5,LOC-08,,TODO,,
S27-27A-b,27,27A,2/2,4,LOC-08,,TODO,,
S27-27B,27,27B,1/1,7,LOC-08,,TODO,,
S27-27C,27,27C,1/1,5,LOC-08,,TODO,,
S27-27D,27,27D,1/1,8,LOC-08,,TODO,,
S27-27E-a,27,27E,1/2,7,LOC-08,,TODO,,
S27-27E-b,27,27E,2/2,7,LOC-08,,TODO,,
S27-27F,27,27F,1/1,7,LOC-08,,TODO,,
S27-27G-a,27,27G,1/2,5,LOC-08,,TODO,,
S27-27G-b,27,27G,2/2,5,LOC-08,,TODO,,
S27-27H-a,27,27H,1/2,7,LOC-08,,TODO,,
S27-27H-b,27,27H,2/2,7,LOC-08,,TODO,,
S27-27I-a,27,27I,1/2,6,LOC-08,,TODO,,
S27-27I-b,27,27I,2/2,5,LOC-08,,TODO,,
S27-27J-a,27,27J,1/2,6,LOC-08,,TODO,,
S27-27J-b,27,27J,2/2,6,LOC-08,,TODO,,
S27-27K-a,27,27K,1/2,5,LOC-08,,TODO,,
S27-27K-b,27,27K,2/2,4,LOC-08,,TODO,,
S27-27L-a,27,27L,1/2,6,LOC-08,,TODO,,
S27-27L-b,27,27L,2/2,6,LOC-08,,TODO,,
S28-28A-a,28,28A,1/2,6,LOC-09,,TODO,,
S28-28A-b,28,28A,2/2,6,LOC-09,,TODO,,
S28-28B-a,28,28B,1/2,5,LOC-09,,TODO,,
S28-28B-b,28,28B,2/2,4,LOC-09,,TODO,,
S28-28C,28,28C,1/1,8,LOC-09,,TODO,,
S28-28D,28,28D,1/1,8,LOC-09,,TODO,,
S28-28E,28,28E,1/1,6,LOC-09,,TODO,,
S28-28F,28,28F,1/1,8,LOC-09,,TODO,,
S28-28G-a,28,28G,1/2,8,LOC-09,,TODO,,
S28-28G-b,28,28G,2/2,8,LOC-09,,TODO,,
S28-28H-a,28,28H,1/2,5,LOC-09,,TODO,,
S28-28H-b,28,28H,2/2,4,LOC-09,,TODO,,
S28-28I,28,28I,1/1,6,LOC-09,,TODO,,
S28-28J-a,28,28J,1/2,7,LOC-09,,TODO,,
S28-28J-b,28,28J,2/2,6,LOC-09,,TODO,,
S28-28K,28,28K,1/1,5,LOC-09,,TODO,,
S28-28L-a,28,28L,1/3,8,LOC-09,,TODO,,
S28-28L-b,28,28L,2/3,7,LOC-09,,TODO,,
S28-28L-c,28,28L,3/3,7,LOC-09,,TODO,,
S28-28M-a,28,28M,1/2,5,LOC-09,,TODO,,
S28-28M-b,28,28M,2/2,5,LOC-09,,TODO,,
S28-28N-a,28,28N,1/2,5,LOC-09,,TODO,,
S28-28N-b,28,28N,2/2,4,LOC-09,,TODO,,
S29-29A,29,29A,1/1,8,LOC-09 → LOC-08,,TODO,,
S29-29B,29,29B,1/1,5,LOC-09 → LOC-08,,TODO,,
S29-29C-a,29,29C,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29C-b,29,29C,2/2,5,LOC-09 → LOC-08,,TODO,,
S29-29D-a,29,29D,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29D-b,29,29D,2/2,4,LOC-09 → LOC-08,,TODO,,
S29-29E,29,29E,1/1,8,LOC-09 → LOC-08,,TODO,,
S29-29F-a,29,29F,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29F-b,29,29F,2/2,4,LOC-09 → LOC-08,,TODO,,
S29-29G-a,29,29G,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29G-b,29,29G,2/2,4,LOC-09 → LOC-08,,TODO,,
S29-29H,29,29H,1/1,6,LOC-09 → LOC-08,,TODO,,
S29-29I-a,29,29I,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29I-b,29,29I,2/2,4,LOC-09 → LOC-08,,TODO,,
S29-29J,29,29J,1/1,8,LOC-09 → LOC-08,,TODO,,
S29-29K-a,29,29K,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29K-b,29,29K,2/2,5,LOC-09 → LOC-08,,TODO,,
S29-29L-a,29,29L,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29L-b,29,29L,2/2,4,LOC-09 → LOC-08,,TODO,,
S29-29M-a,29,29M,1/2,7,LOC-09 → LOC-08,,TODO,,
S29-29M-b,29,29M,2/2,7,LOC-09 → LOC-08,,TODO,,
S29-29N,29,29N,1/1,8,LOC-09 → LOC-08,,TODO,,
S29-29O-a,29,29O,1/2,6,LOC-09 → LOC-08,,TODO,,
S29-29O-b,29,29O,2/2,6,LOC-09 → LOC-08,,TODO,,
S29-29P-a,29,29P,1/2,5,LOC-09 → LOC-08,,TODO,,
S29-29P-b,29,29P,2/2,5,LOC-09 → LOC-08,,TODO,,
S30-30A-a,30,30A,1/2,6,LOC-03 + LOC-10,,TODO,,
S30-30A-b,30,30A,2/2,6,LOC-03 + LOC-10,,TODO,,
S30-30B,30,30B,1/1,8,LOC-03 + LOC-10,,TODO,,
S30-30C-a,30,30C,1/2,6,LOC-03 + LOC-10,,TODO,,
S30-30C-b,30,30C,2/2,5,LOC-03 + LOC-10,,TODO,,
