clip_id,scene,shot,clip_of,seconds,location,prompt
S01-1J,1,1J,1/1,6,LOC-01,"MS to ECU, low behind, 32mm, fast handheld run-in. Arjun runs the catwalk. The lever fills frame. His hand reaches — CUT TO BLACK 4 frames before contact. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: blown white, amber gone. Effect: white bloom overtaking frame edges. Audio: everything → ABSOLUTE SILENCE for 3s over black. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2A,2,2A,1/1,8,LOC-02,"EWS, high wide, looking down through the broken skylight, 21mm, slow drift descent. A single vertical green god-ray falls 18m into a submerged barrel-vaulted transit hall; cast-iron columns; silt-drifted benches. Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: one vertical god-ray, deep viridian falloff. Effect: full CG environment extension; particulate; caustics. Audio: underwater pressure bed, distant metal groan. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2B,2,2B,1/1,7,LOC-02,"MS, eye, underwater, 32mm, slow lateral dolly. Arjun in patched neoprene and rebreather works a copper bus-bar loose with a pry bar; amber lamp on his mask cutting the green. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: amber head-lamp key, green ambient fill. Effect: bubbles, silt, lamp volumetric. Audio: regulator breathing dominant. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2C,2,2C,1/1,5,LOC-02,"insert, overhead, 40mm macro, locked-off, no camera movement. A dive slate; grease pencil writes EXIT — NORTH ARCH — THIRD COLUMN. Camera holds; we see the same sentence already written three times above it. Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: amber lamp only. Audio: pencil scrape, breathing. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2D,2,2D,1/1,4,LOC-02,"CU, low, looking up past him, 50mm, locked-off, no camera movement. Arjun through the mask — the moment he registers his own repetition. No reaction. He is used to it. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: amber lamp bounce on glass, green rim. Effect: reflection comp in mask glass. Audio: one skipped breath. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2E,2,2E,1/1,6,LOC-02,"WS, low, from the terrazzo floor, 25mm, locked-off, no camera movement. He swims over the Corps hexagon inlaid in the terrazzo floor — the open-sided hexagon, half-buried in silt — and does not look at it. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: god-ray behind him, silhouette. Effect: CG floor inlay, silt drift. Audio: low hum begins under the bed. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2F,2,2F,1/1,5,LOC-02,"insert, eye, 85mm, slow push. The brass anchor-stone at his hip pulses amber. Once. Twice. A heartbeat. Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: self-lit amber pulse, green ambient. Effect: anchor-stone pulse; internal amber glow through brass cage lattice. Audio: a soft bell, felt more than heard, 1Hz. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2G,2,2G,1/1,6,LOC-02,"CU, eye, 50mm, slow push in. Arjun stops dead in the water. Stares at his own hip. Says 'No.' through the regulator. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: amber pulse now keying his face from below. Effect: interactive pulse light. Audio: breathing stops; the bell continues. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S02-2H,2,2H,1/1,8,LOC-02,"EWS, extreme low, looking up the skylight shaft, 21mm, locked-off, no camera movement. Tiny figure of Arjun 18m below a distant grey coin of surface light, fist closed around the pulsing stone. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: a drowned transit hall 18m underwater, 40m vaulted ceiling, cast-iron columns, silt, one vertical green god-ray from a broken skylight. midday surface / underwater dusk, underwater, 8m visibility. Light: surface coin blown out, everything else viridian. Effect: CG extension, god-ray, particulate. Audio: the bell, the hum, and rain heard faintly from above the water. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S03-3A-a,3,3A,1/2,5,LOC-03 / LOC-10,"EWS aerial, drone, descending, 24mm, aerial descent through the towers. Nine stilt-towers of stacked shipping containers and bamboo scaffold rising out of grey water, forty rope walkways, LED string lights, tarpaulin in saffron and teal, rain sheeting. Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: flat grey monsoon key, warm 2700K practical pockets. Effect: CG city extension, rain sim, atmospheric haze. Audio: rain on ten thousand tin roofs; the city's chord. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S03-3A-b,3,3A,2/2,4,LOC-03 / LOC-10,"EWS aerial, drone, descending, 24mm, aerial descent through the towers. Nine stilt-towers of stacked shipping containers and bamboo scaffold rising out of grey water, forty rope walkways, LED string lights, tarpaulin in saffron and teal, rain sheeting. Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: flat grey monsoon key, warm 2700K practical pockets. Effect: CG city extension, rain sim, atmospheric haze. Audio: rain on ten thousand tin roofs; the city's chord. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S03-3B,3,3B,1/1,8,LOC-03 / LOC-10,"WS, eye, tracking, 32mm, handheld follow. Arjun crosses the market deck with copper on his shoulder, hood up, moving through vendors, marigolds, plastic-sheet rain capes. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: grey key, string-light practicals, oil-drum fire warmth. Effect: rain interaction. Audio: market Tamil/Bengali/Yoruba chatter, hawkers, radios. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S03-3C,3,3C,1/1,6,LOC-03 / LOC-10,"MS, low, tilted up along the walkway ropes, 40mm, slow tilt up. Hundreds of WHITE PAPER MEMORIAL KITES hanging from the Long Walk ropes in the rain, sodden, turning. Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: backlit by grey sky, LED strings foreground. Effect: cloth sim on hundreds of kites. Audio: paper in wind; the market drops 30% under it. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S03-3D,3,3D,1/1,7,LOC-03 / LOC-10,"WS, low, from below the roof edge, 32mm, whip pan up + handheld. Kira runs the roof edge of Tower Six barefoot, kite spool in hand, saffron-and-black kite cutting an arc; two kids screaming behind her. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: grey sky backlight, rim on wet skin. Effect: kite line physics; CG kite crowd in bg. Audio: laughter, line singing, wind. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S03-3E,3,3E,1/1,4,LOC-03 / LOC-10,"CU, eye, 85mm, handheld, loose. Kira's face, wet, grinning, calling 'LINE—' as she cuts a rival kite; three copper clips catching the light. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: soft grey wrap, wet-skin specular. Audio: the Stiltway roars off-screen. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S03-3F-a,3,3F,1/2,5,LOC-03 / LOC-10,"MS 2-shot, eye, 50mm, locked-off, no camera movement. Bhaskar weighs the copper at his yard, offers 260, adds a foil packet of food on top without comment. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Bhaskar (44, bald South Indian man, thick grey moustache, gold tooth, tattooed forearms, oily work vest). Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: work-lamp key, torch spark flare, warm. Effect: welding spark interactive light. Audio: grinder, rain on corrugated steel. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S03-3F-b,3,3F,2/2,4,LOC-03 / LOC-10,"MS 2-shot, eye, 50mm, locked-off, no camera movement. Bhaskar weighs the copper at his yard, offers 260, adds a foil packet of food on top without comment. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Bhaskar (44, bald South Indian man, thick grey moustache, gold tooth, tattooed forearms, oily work vest). Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: work-lamp key, torch spark flare, warm. Effect: welding spark interactive light. Audio: grinder, rain on corrugated steel. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S03-3G,3,3G,1/1,3,LOC-03 / LOC-10,"MS, eye, handheld, 40mm, quick handheld swish. A shoulder-brush in the crowd. Kira is six metres gone before Arjun's hand reaches his harness. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: grey, practicals. Audio: one clean brass click in the mix. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S03-3H,3,3H,1/1,2,LOC-03 / LOC-10,"insert, eye, 85mm, locked-off, no camera movement. The empty regulator socket on Arjun's canvas harness — a brass ring with nothing in it. Setting: the Stiltway — nine towers of stacked shipping containers and bamboo scaffold linked by rope walkways, saffron and teal tarpaulins, LED string lights, grey monsoon water below, intercut with a corrugated rooftop kite-field high above the Stiltway: a red water-tank, antenna masts, laundry lines, pigeon coops. late afternoon, monsoon rain, wind 30km/h. Light: grey. Audio: rain. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
